line,converged,max_loading,v_min,v_max,n_thermal,n_voltage,n_violations
46,True,619.2948788443433,0.9430000000000004,1.05,6,0,6
7,True,571.9080120825882,0.938559781112507,1.05,46,1,47
6,True,571.7923898897244,0.9385681296920324,1.0500000000000005,46,1,47
85,True,554.1821321601308,0.9429999999999997,1.0500000000000003,2,0,2
128,True,473.9150288581412,0.9429999999999998,1.0500000000000003,12,0,12
154,True,455.42866471700177,0.9430000000000001,1.05,5,0,5
108,True,452.75504617077235,0.943,1.0500000000000005,3,0,3
34,True,446.3202348285021,0.9400162612117832,1.05,23,0,23
126,True,434.73162070134555,0.9430000000000002,1.0500000000000003,3,0,3
89,True,380.78484577199976,0.943,1.0500000000000003,25,0,25
30,True,373.39291730890386,0.9429999999999998,1.05,9,0,9
14,True,348.52705038037624,0.9021341836998905,1.0500000000000003,4,1,5
161,True,336.4923578488029,0.9430000000000001,1.0500000000000003,6,0,6
66,True,335.2694807892688,0.9189180104149519,1.0500000000000005,6,4,10
150,True,323.98596136673376,0.943,1.05,7,0,7
29,True,320.920309982013,0.9429999999999998,1.05,17,0,17
4,True,316.7024916925058,0.9429999999999998,1.05,6,0,6
98,True,305.24674990598265,0.943,1.0500000000000003,8,0,8
56,True,295.211888515584,0.9430000000000002,1.05,1,0,1
139,True,294.78211298350266,0.9429999999999998,1.0500000000000003,2,0,2
43,True,292.55323484074034,0.943,1.05,3,0,3
96,True,288.62091613877914,0.9430000000000001,1.05,1,0,1
90,True,288.3128516162739,0.9429999999999997,1.0500000000000003,19,0,19
117,True,281.2017263217201,0.943,1.0500000000000003,6,0,6
33,True,277.2016698958519,0.9430000000000001,1.0500000000000003,12,0,12
21,True,276.8797124957611,0.9430000000000001,1.0500000000000003,6,0,6
31,True,269.613609698293,0.9429999999999998,1.0500000000000003,5,0,5
49,True,269.61034881191614,0.9430000000000001,1.05,4,0,4
45,True,266.47158520823206,0.9429999999999996,1.05,2,0,2
27,True,263.3188180543776,0.9139386083296928,1.05,6,3,9
168,True,247.29992686006906,0.943,1.05,3,0,3
67,True,245.43944493332964,0.9118362210859573,1.05,4,2,6
157,True,241.7037945503461,0.9430000000000001,1.0500000000000003,2,0,2
37,True,240.51164088152456,0.943,1.05,9,0,9
171,True,239.10618868211623,0.9285771517401814,1.0500000000000003,2,1,3
3,True,238.43334956851004,0.943,1.05,6,0,6
107,True,236.22242528722208,0.943,1.05,3,0,3
19,True,229.33942940009845,0.943,1.05,11,0,11
124,True,224.56572021409346,0.9430000000000003,1.0500000000000003,4,0,4
1,True,218.61610593436592,0.9429999999999997,1.05,3,0,3
44,True,217.41335032794572,0.943,1.05,1,0,1
20,True,213.005526888547,0.9429999999999997,1.05,1,0,1
164,True,210.17717195123652,0.9430000000000002,1.05,8,0,8
74,True,209.62975703172083,0.9429999999999997,1.0499999999999998,1,0,1
26,True,197.66072264577116,0.933517540353676,1.05,5,1,6
115,True,196.68338964065913,0.9429999999999997,1.0500000000000003,3,0,3
53,True,190.84408196680178,0.9430000000000001,1.05,2,0,2
134,True,188.4947356967771,0.9430000000000001,1.0500000000000005,3,0,3
